nome;idhm;idhmr;idhme;idhml
São Caetano do Sul (SP);0.862;0.887;0.811;0.891
Águas de São Pedro (SP);0.854;0.89;0.825;0.849
Florianópolis (SC);0.847;0.873;0.8;0.87
Balneário Camboriú (SC);0.845;0.894;0.789;0.854
Vitória (ES);0.845;0.855;0.805;0.876
Santos (SP);0.84;0.852;0.807;0.861
Niterói (RJ);0.837;0.854;0.773;0.887
Joaçaba (SC);0.827;0.891;0.771;0.823
Brasília (DF);0.824;0.873;0.742;0.863
Curitiba (PR);0.823;0.855;0.768;0.85
Jundiaí (SP);0.822;0.866;0.768;0.834
Valinhos (SP);0.819;0.85;0.763;0.848
Vinhedo (SP);0.817;0.878;0.739;0.84
Santo André (SP);0.815;0.861;0.769;0.819
Araraquara (SP);0.815;0.877;0.782;0.788
Santana de Parnaíba (SP);0.814;0.849;0.725;0.876
Nova Lima (MG);0.813;0.885;0.704;0.864
Ilha Solteira (SP);0.812;0.871;0.782;0.786
Americana (SP);0.811;0.876;0.76;0.8
Belo Horizonte (MG);0.81;0.856;0.737;0.841
Joinville (SC);0.809;0.889;0.749;0.795
São José (SC);0.809;0.88;0.752;0.799
Maringá (PR);0.808;0.852;0.768;0.806
São José dos Campos (SP);0.807;0.855;0.764;0.804
Rio Fortuna (SC);0.806;0.85;0.727;0.848
Presidente Prudente (SP);0.806;0.858;0.774;0.788
Blumenau (SC);0.806;0.894;0.722;0.812
São Bernardo do Campo (SP);0.805;0.861;0.752;0.807
Porto Alegre (RS);0.805;0.857;0.702;0.867
Campinas (SP);0.805;0.86;0.731;0.829
São Carlos (SP);0.805;0.863;0.766;0.788
Assis (SP);0.805;0.865;0.781;0.771
São Paulo (SP);0.805;0.855;0.725;0.843
Rio Claro (SP);0.803;0.862;0.766;0.784
Jaraguá do Sul (SC);0.803;0.865;0.755;0.793
Rio do Sul (SC);0.802;0.894;0.727;0.793
Bauru (SP);0.801;0.854;0.752;0.8
Pirassununga (SP);0.801;0.884;0.736;0.789
São Miguel do Oeste (SC);0.801;0.884;0.739;0.787
Concórdia (SC);0.8;0.872;0.756;0.777
Taubaté (SP);0.8;0.883;0.746;0.778
Botucatu (SP);0.8;0.869;0.746;0.79
Vila Velha (ES);0.8;0.864;0.734;0.807
Ribeirão Preto (SP);0.8;0.844;0.739;0.82
Rio de Janeiro (RJ);0.799;0.845;0.719;0.84
Goiânia (GO);0.799;0.838;0.739;0.824
Marília (SP);0.798;0.854;0.776;0.768
Sorocaba (SP);0.798;0.843;0.762;0.792
Guaratinguetá (SP);0.798;0.886;0.751;0.764
Fernandópolis (SP);0.797;0.872;0.758;0.767
São José do Rio Preto (SP);0.797;0.846;0.748;0.801
São João da Boa Vista (SP);0.797;0.871;0.749;0.776
Itapema (SC);0.796;0.881;0.727;0.788
Carlos Barbosa (RS);0.796;0.835;0.724;0.835
Tubarão (SC);0.796;0.866;0.74;0.788
Itajaí (SC);0.795;0.884;0.73;0.778
Brusque (SC);0.795;0.894;0.707;0.794
Iomerê (SC);0.795;0.891;0.749;0.754
Treze Tílias (SC);0.795;0.874;0.685;0.838
Paulínia (SP);0.795;0.864;0.727;0.8
Holambra (SP);0.793;0.878;0.698;0.815
Ipiranga do Sul (RS);0.791;0.866;0.698;0.818
Quatro Pontes (PR);0.791;0.838;0.748;0.79
Nova Odessa (SP);0.791;0.861;0.762;0.755
Saltinho (SP);0.791;0.857;0.75;0.771
Três Arroios (RS);0.791;0.851;0.689;0.843
Votuporanga (SP);0.79;0.857;0.744;0.772
Adamantina (SP);0.79;0.852;0.75;0.772
Santa Cruz da Conceição (SP);0.79;0.876;0.679;0.83
Chapecó (SC);0.79;0.871;0.727;0.779
Lagoa dos Três Cantos (RS);0.789;0.852;0.754;0.765
Luzerna (SC);0.789;0.877;0.718;0.781
Barretos (SP);0.789;0.875;0.738;0.762
Uberlândia (MG);0.789;0.885;0.716;0.776
Cândido Rodrigues (SP);0.789;0.863;0.762;0.747
Mairiporã (SP);0.788;0.881;0.723;0.767
Caçapava (SP);0.788;0.858;0.755;0.754
Cruzeiro (SP);0.788;0.871;0.758;0.742
Palmas (TO);0.788;0.827;0.749;0.789
Fernando de Noronha (PE);0.788;0.839;0.748;0.781
Indaiatuba (SP);0.788;0.837;0.738;0.791
Araçatuba (SP);0.788;0.841;0.744;0.782
Barra Bonita (SP);0.788;0.869;0.739;0.762
Criciúma (SC);0.788;0.846;0.737;0.786
Itajubá (MG);0.787;0.884;0.718;0.767
Espírito Santo do Pinhal (SP);0.787;0.872;0.712;0.784
Barueri (SP);0.786;0.866;0.708;0.791
Lins (SP);0.786;0.869;0.733;0.762
Pompéia (SP);0.786;0.864;0.748;0.75
Porto União (SC);0.786;0.891;0.724;0.752
Garibaldi (RS);0.786;0.856;0.688;0.825
Monte Aprazível (SP);0.785;0.861;0.72;0.781
Catanduva (SP);0.785;0.853;0.74;0.767
Casca (RS);0.785;0.847;0.733;0.778
Cuiabá (MT);0.785;0.834;0.726;0.8
Nova Araçá (RS);0.785;0.843;0.722;0.796
Tremembé (SP);0.785;0.873;0.72;0.769
Piracicaba (SP);0.785;0.848;0.717;0.797
Amparo (SP);0.785;0.871;0.711;0.78
Santa Maria (RS);0.784;0.848;0.715;0.795
Campo Grande (MS);0.784;0.844;0.724;0.79
Ribeirão Pires (SP);0.784;0.847;0.76;0.749
Santa Fé do Sul (SP);0.784;0.84;0.751;0.763
Salto Veloso (SC);0.784;0.88;0.705;0.778
Mogi Mirim (SP);0.784;0.879;0.715;0.767
Ivoti (RS);0.784;0.848;0.729;0.78
Jaguariúna (SP);0.784;0.862;0.715;0.782
Timbó (SC);0.784;0.856;0.697;0.807
Arujá (SP);0.784;0.866;0.73;0.761
Mogi das Cruzes (SP);0.783;0.851;0.74;0.762
Pinhalzinho (SC);0.783;0.886;0.716;0.758
Horizontina (RS);0.783;0.858;0.716;0.782
Lavras (MG);0.782;0.88;0.719;0.757
Cascavel (PR);0.782;0.846;0.728;0.776
Pato Branco (PR);0.782;0.845;0.728;0.778
São Bento do Sul (SC);0.782;0.871;0.719;0.763
Cerquilho (SP);0.782;0.854;0.739;0.758
Caxias do Sul (RS);0.782;0.86;0.686;0.812
Santo Amaro da Imperatriz (SC);0.781;0.89;0.71;0.753
Maravilha (SC);0.781;0.886;0.708;0.758
Lacerdópolis (SC);0.781;0.883;0.708;0.763
Bombinhas (SC);0.781;0.864;0.732;0.753
Santa Bárbara D'Oeste (SP);0.781;0.867;0.731;0.752
Araras (SP);0.781;0.859;0.728;0.763
Caieiras (SP);0.781;0.861;0.749;0.74
Ijuí (RS);0.781;0.858;0.707;0.786
Águas da Prata (SP);0.781;0.886;0.716;0.75
Cotia (SP);0.78;0.851;0.707;0.789
Pomerode (SC);0.78;0.886;0.687;0.78
Cocal do Sul (SC);0.78;0.859;0.74;0.747
Corupá (SC);0.78;0.873;0.707;0.768
Vista Alegre do Prata (RS);0.78;0.847;0.692;0.809
Orlândia (SP);0.78;0.882;0.703;0.765
Birigui (SP);0.78;0.869;0.734;0.743
Braço do Trombudo (SC);0.78;0.883;0.702;0.766
Franca (SP);0.78;0.842;0.753;0.749
Bebedouro (SP);0.78;0.853;0.735;0.756
Nova Petrópolis (RS);0.78;0.89;0.688;0.775
Salto (SP);0.78;0.837;0.751;0.755
Boituva (SP);0.78;0.861;0.728;0.757
Piratininga (SP);0.779;0.859;0.723;0.762
Seara (SC);0.779;0.872;0.674;0.804
Andradina (SP);0.779;0.885;0.702;0.762
Poços de Caldas (MG);0.779;0.872;0.706;0.768
Jaboticabal (SP);0.778;0.851;0.71;0.778
Nova Bréscia (RS);0.778;0.847;0.666;0.836
Itatiba (SP);0.778;0.844;0.708;0.788
Bento Gonçalves (RS);0.778;0.842;0.695;0.805
Londrina (PR);0.778;0.837;0.712;0.789
Juiz de Fora (MG);0.778;0.844;0.711;0.784
Lajeado (RS);0.778;0.84;0.704;0.796
Tietê (SP);0.778;0.884;0.698;0.764
Braço do Norte (SC);0.778;0.881;0.716;0.746
Varginha (MG);0.778;0.875;0.707;0.76
Ourinhos (SP);0.778;0.859;0.727;0.753
Jaú (SP);0.778;0.886;0.693;0.768
Indaial (SC);0.777;0.873;0.701;0.767
Selbach (RS);0.777;0.841;0.71;0.785
José Bonifácio (SP);0.777;0.869;0.717;0.752
Pinheiro Preto (SC);0.777;0.866;0.712;0.762
Jacareí (SP);0.777;0.837;0.749;0.749
Sarandi (RS);0.777;0.858;0.705;0.776
Louveira (SP);0.777;0.861;0.697;0.783
Mafra (SC);0.777;0.88;0.723;0.738
Victor Graeff (RS);0.777;0.84;0.722;0.774
Farroupilha (RS);0.777;0.861;0.696;0.783
Lagoa Santa (MG);0.777;0.857;0.693;0.79
Osasco (SP);0.776;0.84;0.718;0.776
Erechim (RS);0.776;0.833;0.716;0.782
Dracena (SP);0.776;0.842;0.737;0.752
Araçoiaba da Serra (SP);0.776;0.86;0.723;0.751
Pirapozinho (SP);0.776;0.863;0.733;0.74
Passo Fundo (RS);0.776;0.849;0.699;0.787
Jales (SP);0.776;0.855;0.73;0.75
Iracemápolis (SP);0.776;0.863;0.729;0.742
Bragança Paulista (SP);0.776;0.861;0.704;0.772
Itaú de Minas (MG);0.776;0.862;0.711;0.761
Trombudo Central (SC);0.775;0.88;0.696;0.76
Ceres (GO);0.775;0.842;0.733;0.753
Itapiranga (SC);0.775;0.842;0.723;0.766
Limeira (SP);0.775;0.852;0.719;0.761
Viçosa (MG);0.775;0.883;0.696;0.758
Xanxerê (SC);0.775;0.861;0.711;0.76
Santa Rita do Passa Quatro (SP);0.775;0.887;0.686;0.764
Cruzália (SP);0.774;0.853;0.778;0.698
Mogi Guaçu (SP);0.774;0.852;0.736;0.74
Massaranduba (SC);0.774;0.867;0.714;0.749
Siderópolis (SC);0.774;0.88;0.701;0.751
Treviso (SC);0.774;0.882;0.714;0.737
Ouro (SC);0.774;0.884;0.677;0.774
Marau (RS);0.774;0.857;0.699;0.773
Marechal Cândido Rondon (PR);0.774;0.842;0.704;0.782
Pouso Alegre (MG);0.774;0.872;0.704;0.755
São José do Rio Pardo (SP);0.774;0.868;0.717;0.744
Pedrinhas Paulista (SP);0.774;0.837;0.739;0.749
Francisco Beltrão (PR);0.774;0.844;0.726;0.758
Rio das Ostras (RJ);0.773;0.854;0.689;0.784
Santana da Ponte Pensa (SP);0.773;0.84;0.733;0.751
Olímpia (SP);0.773;0.867;0.724;0.737
Santa Cruz do Sul (RS);0.773;0.852;0.693;0.782
Pindamonhangaba (SP);0.773;0.843;0.736;0.745
Itu (SP);0.773;0.854;0.692;0.782
Auriflama (SP);0.773;0.84;0.738;0.746
Serra Alta (SC);0.773;0.879;0.694;0.758
Matão (SP);0.773;0.847;0.713;0.766
Sebastianópolis do Sul (SP);0.773;0.835;0.74;0.748
Araguari (MG);0.773;0.871;0.716;0.74
Paraí (RS);0.773;0.866;0.679;0.787
Veranópolis (RS);0.773;0.838;0.692;0.797
Santo Ângelo (RS);0.772;0.863;0.696;0.765
Urussanga (SC);0.772;0.876;0.695;0.756
Uberaba (MG);0.772;0.845;0.705;0.772
Monções (SP);0.772;0.814;0.773;0.731
Santa Salete (SP);0.772;0.864;0.748;0.712
Recife (PE);0.772;0.825;0.698;0.798
Araxá (MG);0.772;0.858;0.709;0.756
São Sebastião (SP);0.772;0.875;0.703;0.747
Aratiba (RS);0.772;0.856;0.67;0.801
Sales Oliveira (SP);0.772;0.845;0.739;0.738
Maracaí (SP);0.771;0.85;0.758;0.711
Poá (SP);0.771;0.856;0.754;0.71
Volta Redonda (RJ);0.771;0.833;0.72;0.763
Tupã (SP);0.771;0.852;0.704;0.764
Ipatinga (MG);0.771;0.864;0.705;0.752
Itá (SC);0.771;0.879;0.698;0.747
Lajeado Grande (SC);0.771;0.858;0.712;0.75
Montes Claros (MG);0.77;0.868;0.744;0.707
Timóteo (MG);0.77;0.836;0.742;0.737
Presidente Castello Branco (SC);0.77;0.883;0.637;0.813
Aracaju (SE);0.77;0.823;0.708;0.784
Macatuba (SP);0.77;0.859;0.697;0.763
Santa Rosa de Viterbo (SP);0.77;0.868;0.704;0.746
Oriente (SP);0.77;0.837;0.761;0.717
Ouroeste (SP);0.77;0.866;0.736;0.717
Vargem Grande Paulista (SP);0.77;0.884;0.683;0.755
Lages (SC);0.77;0.867;0.697;0.755
Armazém (SC);0.77;0.882;0.698;0.743
Garça (SP);0.769;0.849;0.728;0.737
Campo Limpo Paulista (SP);0.769;0.84;0.739;0.733
Schroeder (SC);0.769;0.855;0.71;0.75
Taboão da Serra (SP);0.769;0.863;0.71;0.742
São Carlos (SC);0.769;0.867;0.688;0.763
Cosmópolis (SP);0.769;0.876;0.697;0.746
Arroio do Meio (RS);0.769;0.86;0.706;0.75
Tupi Paulista (SP);0.769;0.835;0.715;0.762
Santa Rosa (RS);0.769;0.871;0.693;0.752
Pedreira (SP);0.769;0.864;0.701;0.75
Barbacena (MG);0.769;0.881;0.687;0.751
Monte Alto (SP);0.768;0.859;0.707;0.746
Palotina (PR);0.768;0.864;0.689;0.76
Bilac (SP);0.768;0.845;0.722;0.743
Maracajá (SC);0.768;0.861;0.699;0.752
São Roque (SP);0.768;0.863;0.687;0.765
Lucas do Rio Verde (MT);0.768;0.833;0.71;0.766
São Vicente (SP);0.768;0.857;0.716;0.738
São Marcos (RS);0.768;0.855;0.683;0.775
Toledo (PR);0.768;0.855;0.702;0.755
Três Passos (RS);0.768;0.858;0.71;0.745
Resende (RJ);0.768;0.839;0.709;0.762
Igarapava (SP);0.768;0.835;0.671;0.809
Nova Veneza (SC);0.768;0.869;0.703;0.741
Nova Boa Vista (RS);0.768;0.836;0.708;0.764
São Luís (MA);0.768;0.813;0.752;0.741
Regente Feijó (SP);0.768;0.818;0.752;0.735
Novo Xingu (RS);0.767;0.85;0.708;0.749
Capivari de Baixo (SC);0.767;0.87;0.716;0.724
Orindiúva (SP);0.767;0.824;0.762;0.719
Encantado (RS);0.767;0.858;0.687;0.764
Serra Negra (SP);0.767;0.873;0.676;0.764
Dois Vizinhos (PR);0.767;0.85;0.711;0.747
Votorantim (SP);0.767;0.838;0.747;0.72
Avaré (SP);0.767;0.866;0.695;0.751
Estrela (RS);0.767;0.85;0.684;0.776
Santiago (RS);0.766;0.882;0.682;0.746
Ivatuba (PR);0.766;0.837;0.748;0.718
Mauá (SP);0.766;0.852;0.733;0.721
Pereira Barreto (SP);0.766;0.845;0.732;0.728
Alumínio (SP);0.766;0.841;0.732;0.729
Parnamirim (RN);0.766;0.825;0.726;0.75
São Simão (SP);0.766;0.852;0.722;0.732
Poloni (SP);0.766;0.853;0.717;0.736
Catalão (GO);0.766;0.819;0.715;0.769
Lorena (SP);0.766;0.856;0.713;0.736
Carazinho (RS);0.766;0.84;0.707;0.756
Cedral (SP);0.766;0.872;0.689;0.749
Nova Prata (RS);0.766;0.839;0.686;0.782
Peritiba (SC);0.766;0.882;0.669;0.762
Capivari do Sul (RS);0.766;0.836;0.668;0.805
Ibirubá (RS);0.765;0.848;0.671;0.786
Atibaia (SP);0.765;0.851;0.67;0.786
Colinas (RS);0.765;0.84;0.678;0.786
Nova Erechim (SC);0.765;0.851;0.686;0.767
São Domingos (SC);0.765;0.861;0.675;0.769
Guaporé (RS);0.765;0.837;0.685;0.781
Suzano (SP);0.765;0.873;0.723;0.708
Patos de Minas (MG);0.765;0.855;0.698;0.749
Não-Me-Toque (RS);0.765;0.847;0.673;0.784
Maricá (RJ);0.765;0.85;0.692;0.761
Ituverava (SP);0.765;0.841;0.694;0.768
Nova Europa (SP);0.765;0.869;0.718;0.718
Espumoso (RS);0.765;0.884;0.677;0.747
Imbituba (SC);0.765;0.868;0.703;0.734
Gaspar (SC);0.765;0.889;0.655;0.77
Arroio Trinta (SC);0.764;0.873;0.653;0.781
Imbé (RS);0.764;0.847;0.638;0.825
Gramado (RS);0.764;0.861;0.662;0.783
Montauri (RS);0.764;0.852;0.662;0.79
Santo Antônio do Palma (RS);0.764;0.853;0.665;0.787
Macaé (RJ);0.764;0.828;0.681;0.792
Paraíso do Tocantins (TO);0.764;0.831;0.706;0.759
São Valentim do Sul (RS);0.764;0.848;0.677;0.776
Cerro Largo (RS);0.764;0.849;0.698;0.752
Rosana (SP);0.764;0.818;0.728;0.749
Ouro Branco (MG);0.764;0.872;0.68;0.753
Lençóis Paulista (SP);0.764;0.837;0.717;0.743
Rondinha (RS);0.764;0.842;0.678;0.78
Cachoeira Paulista (SP);0.764;0.837;0.728;0.733
Divinópolis (MG);0.764;0.844;0.702;0.753
Videira (SC);0.764;0.857;0.675;0.772
Itapetininga (SP);0.763;0.864;0.705;0.728
Ponta Grossa (PR);0.763;0.837;0.703;0.755
São Domingos do Sul (RS);0.763;0.839;0.68;0.78
Guararapes (SP);0.763;0.84;0.726;0.727
Guarulhos (SP);0.763;0.831;0.717;0.746
Fagundes Varela (RS);0.763;0.852;0.674;0.773
Gabriel Monteiro (SP);0.763;0.809;0.762;0.721
Barra Funda (RS);0.763;0.856;0.71;0.731
Buritama (SP);0.763;0.839;0.72;0.736
São Pedro do Butiá (RS);0.763;0.843;0.694;0.76
Presidente Venceslau (SP);0.763;0.837;0.708;0.749
Natal (RN);0.763;0.835;0.694;0.768
João Pessoa (PB);0.763;0.832;0.693;0.77
Medianeira (PR);0.763;0.849;0.686;0.762
Paranavaí (PR);0.763;0.844;0.703;0.75
Santa Cruz do Rio Pardo (SP);0.762;0.867;0.686;0.744
Paraguaçu Paulista (SP);0.762;0.836;0.739;0.717
São Joaquim da Barra (SP);0.762;0.847;0.706;0.74
Boa Vista do Buricá (RS);0.762;0.834;0.697;0.761
Mococa (SP);0.762;0.827;0.709;0.756
Sumaré (SP);0.762;0.845;0.705;0.744
São Francisco do Sul (SC);0.762;0.856;0.699;0.74
Mirassol (SP);0.762;0.846;0.698;0.748
Serranópolis do Iguaçu (PR);0.762;0.859;0.662;0.778
Torres (RS);0.762;0.862;0.685;0.75
Itupeva (SP);0.762;0.844;0.699;0.75
Saldanha Marinho (RS);0.762;0.841;0.706;0.745
Itapira (SP);0.762;0.852;0.692;0.75
Osvaldo Cruz (SP);0.762;0.837;0.713;0.74
David Canabarro (RS);0.762;0.87;0.688;0.74
Zortéa (SC);0.761;0.885;0.661;0.752
Vila Maria (RS);0.761;0.839;0.664;0.791
Conselheiro Lafaiete (MG);0.761;0.86;0.697;0.736
Nova Pádua (RS);0.761;0.852;0.678;0.762
Itapoá (SC);0.761;0.874;0.682;0.739
Santa Rita D'Oeste (SP);0.761;0.839;0.74;0.711
Batatais (SP);0.761;0.84;0.685;0.766
Indiana (SP);0.761;0.843;0.733;0.714
Iguaba Grande (RJ);0.761;0.841;0.704;0.744
Entre Rios do Oeste (PR);0.761;0.826;0.686;0.778
Alfenas (MG);0.761;0.841;0.712;0.737
Panambi (RS);0.761;0.848;0.691;0.752
Sertãozinho (SP);0.761;0.855;0.672;0.768
Taió (SC);0.761;0.879;0.67;0.749
Umuarama (PR);0.761;0.836;0.698;0.755
São João do Oeste (SC);0.761;0.873;0.668;0.756
Araranguá (SC);0.76;0.853;0.691;0.745
Serafina Corrêa (RS);0.76;0.843;0.69;0.755
Goiandira (GO);0.76;0.849;0.727;0.711
Tapejara (RS);0.76;0.837;0.688;0.763
Frederico Westphalen (RS);0.76;0.846;0.688;0.754
Santa Adélia (SP);0.76;0.835;0.702;0.75
Porto Belo (SC);0.76;0.886;0.66;0.75
Estrela D'Oeste (SP);0.76;0.873;0.705;0.712
Sete Lagoas (MG);0.76;0.84;0.705;0.742
Descalvado (SP);0.76;0.865;0.687;0.74
Rio Negro (PR);0.76;0.863;0.705;0.721
Itaara (RS);0.76;0.841;0.687;0.761
Modelo (SC);0.76;0.886;0.659;0.751
Campinas do Sul (RS);0.76;0.842;0.691;0.753
Tijucas (SC);0.76;0.873;0.672;0.747
Taiúva (SP);0.76;0.835;0.718;0.732
Jandira (SP);0.76;0.841;0.706;0.738
Cornélio Procópio (PR);0.759;0.848;0.692;0.746
Várzea Paulista (SP);0.759;0.863;0.705;0.72
Santo Antônio do Planalto (RS);0.759;0.885;0.705;0.701
Caraguatatuba (SP);0.759;0.845;0.705;0.735
Presidente Getúlio (SC);0.759;0.874;0.654;0.764
Rio das Pedras (SP);0.759;0.842;0.7;0.741
Taquaral (SP);0.759;0.823;0.716;0.742
Iporã do Oeste (SC);0.759;0.847;0.695;0.743
Três de Maio (RS);0.759;0.834;0.694;0.756
Gurupi (TO);0.759;0.843;0.706;0.736
São Lourenço (MG);0.759;0.871;0.673;0.746
Nova Candelária (RS);0.759;0.856;0.643;0.794
Rubinéia (SP);0.759;0.844;0.726;0.713
Monte Alegre do Sul (SP);0.759;0.858;0.678;0.752
Inúbia Paulista (SP);0.759;0.849;0.75;0.688
Salvador (BA);0.759;0.835;0.679;0.772
Penápolis (SP);0.759;0.859;0.68;0.748
Cordeirópolis (SP);0.758;0.858;0.674;0.754
Herval D'Oeste (SC);0.758;0.859;0.684;0.74
Itaúna (MG);0.758;0.85;0.685;0.749
Porto Feliz (SP);0.758;0.836;0.706;0.737
Colorado (RS);0.758;0.835;0.674;0.775
Antônio Prado (RS);0.758;0.835;0.671;0.777
São José dos Pinhais (PR);0.758;0.859;0.678;0.749
Piratuba (SC);0.758;0.829;0.714;0.736
Piraju (SP);0.758;0.843;0.699;0.74
Iguaraçu (PR);0.758;0.833;0.732;0.714
São João Del Rei (MG);0.758;0.86;0.69;0.733
João Monlevade (MG);0.758;0.849;0.708;0.724
Fernando Prestes (SP);0.758;0.859;0.68;0.746
Nova Londrina (PR);0.758;0.856;0.691;0.735
Álvares Machado (SP);0.758;0.834;0.732;0.712
Faxinal dos Guedes (SC);0.758;0.863;0.676;0.746
Guabiju (RS);0.758;0.857;0.612;0.831
Nova Mutum (MT);0.758;0.837;0.673;0.773
Picada Café (RS);0.758;0.842;0.701;0.738
Maripá (PR);0.758;0.866;0.684;0.736
Vista Gaúcha (RS);0.757;0.839;0.669;0.774
Campo Mourão (PR);0.757;0.841;0.689;0.749
Presidente Lucena (RS);0.757;0.885;0.674;0.727
Chapada (RS);0.757;0.849;0.679;0.752
Diadema (SP);0.757;0.844;0.716;0.717
Águas de Santa Bárbara (SP);0.757;0.84;0.695;0.744
Gravatal (SC);0.757;0.877;0.681;0.726
Dois Lajeados (RS);0.757;0.837;0.67;0.775
Colina (SP);0.757;0.845;0.712;0.72
Vanini (RS);0.757;0.836;0.704;0.736
Estância Velha (RS);0.757;0.887;0.652;0.749
Piquete (SP);0.757;0.823;0.74;0.711
Palhoça (SC);0.757;0.859;0.672;0.752
Jataí (GO);0.757;0.856;0.656;0.774
Santo Antônio do Aracanguá (SP);0.757;0.84;0.728;0.71
Presidente Bernardes (SP);0.757;0.839;0.719;0.718
Canoinhas (SC);0.757;0.874;0.692;0.717
Pedro Leopoldo (MG);0.757;0.856;0.7;0.723
Cachoeirinha (RS);0.757;0.857;0.675;0.749
Santa Rosa de Lima (SC);0.757;0.843;0.71;0.726
Contagem (MG);0.756;0.832;0.697;0.745
Hortolândia (SP);0.756;0.859;0.703;0.716
Jambeiro (SP);0.756;0.86;0.69;0.727
Passos (MG);0.756;0.886;0.658;0.741
Itabira (MG);0.756;0.873;0.678;0.729
Quinze de Novembro (RS);0.756;0.841;0.655;0.783
Pirangi (SP);0.756;0.837;0.701;0.735
Ilhabela (SP);0.756;0.843;0.693;0.739
Cravinhos (SP);0.756;0.857;0.683;0.737
Nova Castilho (SP);0.756;0.823;0.755;0.694
Bálsamo (SP);0.756;0.835;0.695;0.746
Balneário Piçarras (SC);0.756;0.869;0.668;0.745
Fortaleza dos Valos (RS);0.756;0.837;0.663;0.779
Coronel Fabriciano (MG);0.755;0.865;0.696;0.715
Cianorte (PR);0.755;0.841;0.685;0.747
Alto Bela Vista (SC);0.755;0.882;0.664;0.734
São Pedro (SP);0.755;0.863;0.674;0.741
São José do Ouro (RS);0.755;0.846;0.669;0.759
Rondonópolis (MT);0.755;0.823;0.698;0.749
Pongaí (SP);0.755;0.844;0.701;0.727
Formiga (MG);0.755;0.874;0.676;0.729
Montenegro (RS);0.755;0.866;0.654;0.761
Brodowski (SP);0.755;0.864;0.675;0.738
Orleans (SC);0.755;0.873;0.657;0.749
Saudades (SC);0.755;0.85;0.7;0.723
Aparecida (SP);0.755;0.828;0.706;0.735
São Ludgero (SC);0.755;0.834;0.683;0.756
Flores da Cunha (RS);0.754;0.849;0.642;0.786
Constantina (RS);0.754;0.885;0.668;0.726
Vera Cruz (SP);0.754;0.83;0.715;0.722
Analândia (SP);0.754;0.861;0.668;0.745
Fortaleza (CE);0.754;0.824;0.695;0.749
Mongaguá (SP);0.754;0.854;0.699;0.719
Lauro de Freitas (BA);0.754;0.827;0.663;0.781
Corumbataí (SP);0.754;0.841;0.7;0.728
Praia Grande (SP);0.754;0.834;0.692;0.744
Cunhataí (SC);0.754;0.886;0.623;0.777
Guabiruba (SC);0.754;0.876;0.653;0.75
Neves Paulista (SP);0.754;0.823;0.707;0.737
Esteio (RS);0.754;0.843;0.662;0.769
Registro (SP);0.754;0.851;0.702;0.718
São Vendelino (RS);0.754;0.852;0.677;0.743
Rio Verde (GO);0.754;0.853;0.656;0.765
Rodeio (SC);0.754;0.889;0.626;0.769
Sinop (MT);0.754;0.832;0.682;0.755
Rio do Oeste (SC);0.754;0.892;0.625;0.769
Boracéia (SP);0.754;0.866;0.685;0.723
Chapadão do Sul (MS);0.754;0.85;0.665;0.758
Garopaba (SC);0.753;0.868;0.668;0.737
João Neiva (ES);0.753;0.857;0.663;0.751
Palmeira D'Oeste (SP);0.753;0.829;0.714;0.72
Santo Anastácio (SP);0.753;0.854;0.689;0.725
Ajuricaba (RS);0.753;0.85;0.658;0.763
Mangaratiba (RJ);0.753;0.845;0.676;0.746
Monte Azul Paulista (SP);0.753;0.843;0.69;0.733
Rancho Queimado (SC);0.753;0.893;0.644;0.743
Estação (RS);0.753;0.843;0.674;0.752
Guaíra (SP);0.753;0.824;0.683;0.759
Congonhas (MG);0.753;0.877;0.665;0.732
Novo Horizonte (SP);0.753;0.865;0.665;0.741
Forquilhinha (SC);0.753;0.861;0.657;0.754
Tarumã (SP);0.753;0.852;0.68;0.738
Magda (SP);0.753;0.823;0.717;0.724
Três Fronteiras (SP);0.753;0.829;0.726;0.71
Ipeúna (SP);0.753;0.845;0.685;0.737
Nicolau Vergueiro (RS);0.753;0.839;0.66;0.772
Salvador das Missões (RS);0.753;0.851;0.706;0.71
Nilópolis (RJ);0.753;0.817;0.716;0.731
Três Marias (MG);0.752;0.866;0.695;0.706
Tatuí (SP);0.752;0.842;0.688;0.734
Xaxim (SC);0.752;0.871;0.662;0.737
Westfalia (RS);0.752;0.849;0.63;0.796
Capinzal (SC);0.752;0.869;0.659;0.742
Boa Vista (RR);0.752;0.816;0.708;0.737
Tunápolis (SC);0.752;0.83;0.704;0.728
Monte Belo do Sul (RS);0.752;0.852;0.663;0.752
Pranchita (PR);0.752;0.821;0.696;0.743
Severiano de Almeida (RS);0.752;0.861;0.67;0.738
Aracruz (ES);0.752;0.838;0.707;0.717
Lucélia (SP);0.752;0.841;0.695;0.728
Araguaína (TO);0.752;0.821;0.712;0.727
Enéas Marques (PR);0.752;0.835;0.664;0.767
Laguna (SC);0.752;0.871;0.682;0.715
Marapoama (SP);0.752;0.852;0.679;0.736
Primavera do Leste (MT);0.752;0.843;0.653;0.774
Itumbiara (GO);0.752;0.838;0.682;0.744
Planalto Alegre (SC);0.751;0.881;0.659;0.731
Indiaporã (SP);0.751;0.835;0.71;0.714
Guaramirim (SC);0.751;0.885;0.641;0.748
Pinhais (PR);0.751;0.836;0.666;0.761
Nhandeara (SP);0.751;0.835;0.672;0.755
